-------------
L18S801
            99.5dB           700W      3x100mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 68.2Hz 117Hz  201Hz  132.0dB   15l +  18l  * 1x100mm   945mm
 74.2Hz 124Hz  207Hz  133.5dB   14l +  18l  * 1x100mm   842mm
 80.7Hz 131Hz  213Hz  135.0dB   12l +  18l  * 1x100mm   751mm
-------------
LF21N451
            98.5dB          1500W      4x100mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 24.3Hz  51Hz  105Hz  117.1dB  203l +  52l  * 2x100mm  3486mm
 26.7Hz  54Hz  108Hz  118.8dB  171l +  52l  * 2x100mm  3107mm
 29.3Hz  57Hz  110Hz  120.4dB  145l +  52l  * 2x100mm  2769mm
 32.0Hz  60Hz  113Hz  121.9dB  124l +  52l  * 2x100mm  2469mm
 35.0Hz  64Hz  116Hz  123.5dB  107l +  52l  * 2x100mm  2200mm
 38.2Hz  67Hz  119Hz  125.0dB   92l +  52l  * 2x100mm  1961mm
 41.7Hz  71Hz  123Hz  126.5dB   80l +  52l  * 2x100mm  1747mm
 45.4Hz  76Hz  126Hz  128.0dB   70l +  52l  * 2x100mm  1557mm
 49.4Hz  80Hz  130Hz  129.4dB   61l +  52l  * 2x100mm  1388mm
 53.6Hz  85Hz  135Hz  130.9dB   53l +  52l  * 2x100mm  1237mm
 58.2Hz  90Hz  139Hz  132.3dB   47l +  52l  * 2x100mm  1103mm
 63.1Hz  95Hz  144Hz  133.7dB   41l +  52l  * 2x100mm   983mm
 68.3Hz  98Hz  149Hz  135.1dB   38l +  52l  * 2x100mm   920mm
 73.9Hz 107Hz  155Hz  136.4dB   32l +  52l  * 2x100mm   781mm
 79.8Hz 113Hz  161Hz  137.8dB   28l +  52l  * 2x100mm   696mm
 24.3Hz  59Hz  105Hz  117.1dB  131l +  39l  * 2x100mm  3486mm
 26.7Hz  63Hz  108Hz  118.8dB  112l +  39l  * 2x100mm  3107mm
 29.3Hz  66Hz  110Hz  120.4dB   97l +  39l  * 2x100mm  2769mm
 32.0Hz  70Hz  113Hz  121.9dB   84l +  39l  * 2x100mm  2468mm
 35.0Hz  74Hz  116Hz  123.5dB   73l +  39l  * 2x100mm  2200mm
 38.2Hz  79Hz  119Hz  125.0dB   64l +  39l  * 2x100mm  1960mm
 41.7Hz  83Hz  123Hz  126.5dB   56l +  39l  * 2x100mm  1747mm
 45.4Hz  88Hz  126Hz  128.0dB   49l +  39l  * 2x100mm  1557mm
 49.4Hz  94Hz  130Hz  129.4dB   43l +  39l  * 2x100mm  1388mm
 53.6Hz  99Hz  135Hz  130.9dB   38l +  39l  * 2x100mm  1237mm
 58.2Hz 105Hz  139Hz  132.3dB   33l +  39l  * 2x100mm  1103mm
 63.1Hz  95Hz  144Hz  133.7dB   41l +  39l  * 2x100mm  1338mm
