-------------
da175-8
            86.0dB            50W       1x70mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 29.6Hz  61Hz   92Hz  101.7dB   11l +   6l  * 1x40mm   1727mm
 32.2Hz  64Hz   95Hz  103.2dB    9l +   6l  * 1x40mm   1540mm
 35.1Hz  68Hz   98Hz  104.7dB    8l +   6l  * 1x40mm   1372mm
 38.2Hz  72Hz  101Hz  106.1dB    7l +   6l  * 1x40mm   1223mm
 41.5Hz  77Hz  104Hz  107.6dB    6l +   6l  * 1x40mm   1090mm
 45.0Hz  81Hz  108Hz  109.0dB    5l +   6l  * 1x40mm    971mm
 48.8Hz  74Hz  111Hz  110.4dB    7l +   6l  * 1x40mm   1178mm
 52.8Hz  76Hz  115Hz  111.8dB    6l +   6l  * 1x40mm   1104mm
 57.1Hz  83Hz  120Hz  113.1dB    5l +   6l  * 1x40mm    936mm
 53.1Hz  88Hz  124Hz  111.9dB    5l +   6l  * 1x40mm    834mm
 57.9Hz  93Hz  129Hz  113.4dB    4l +   6l  * 1x40mm    744mm
 71.9Hz  98Hz  134Hz  117.1dB    4l +   6l  * 1x40mm    663mm
 22.6Hz  55Hz  133Hz   97.0dB   15l +   4l  * 1x40mm   3071mm
 24.9Hz  58Hz  135Hz   98.7dB   13l +   4l  * 1x40mm   2738mm
 27.4Hz  61Hz  138Hz  100.4dB   11l +   4l  * 1x40mm   2440mm
 30.2Hz  65Hz  141Hz  102.1dB    9l +   4l  * 1x40mm   2175mm
 33.1Hz  69Hz  143Hz  103.7dB    8l +   4l  * 1x40mm   1938mm
 36.4Hz  73Hz  147Hz  105.3dB    7l +   4l  * 1x40mm   1727mm
 39.9Hz  77Hz  150Hz  106.9dB    6l +   4l  * 1x40mm   1539mm
 43.6Hz  82Hz  154Hz  108.5dB    5l +   4l  * 1x40mm   1372mm
 47.7Hz  87Hz  158Hz  110.0dB    5l +   4l  * 1x40mm   1223mm
 52.1Hz  92Hz  162Hz  111.5dB    4l +   4l  * 1x40mm   1090mm
 56.8Hz  97Hz  167Hz  113.0dB    4l +   4l  * 1x40mm    971mm
 61.8Hz 103Hz  172Hz  114.5dB    3l +   4l  * 1x40mm    866mm
 67.3Hz 109Hz  178Hz  116.0dB    3l +   4l  * 1x40mm    772mm
 73.1Hz 116Hz  183Hz  117.4dB    2l +   4l  * 1x40mm    688mm
 79.3Hz 123Hz  190Hz  118.8dB    2l +   4l  * 1x40mm    613mm
 86.0Hz 130Hz  196Hz  120.2dB    2l +   4l  * 1x40mm    546mm
 93.1Hz 138Hz  203Hz  121.6dB    2l +   4l  - 1x50mm    761mm
-------------
dcs255-4
            89.0dB           200W      1x100mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 18.3Hz  38Hz   79Hz   97.1dB   92l +  13l  * 1x50mm   3235mm
