-------------
W160al
            87.0dB            80W       1x70mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 67.6Hz 102Hz  154Hz  110.9dB    8l +   7l  - 1x50mm    753mm
 73.2Hz 106Hz  160Hz  112.3dB    8l +   7l  - 1x50mm    705mm
 79.2Hz 115Hz  166Hz  113.6dB    6l +   7l  - 1x50mm    598mm
 73.5Hz 121Hz  172Hz  112.3dB    6l +   7l  - 1x50mm    533mm
 80.3Hz 129Hz  179Hz  113.9dB    5l +   7l  - 1x50mm    475mm
 99.6Hz 136Hz  186Hz  117.6dB    4l +   7l  - 1x50mm    423mm
 31.3Hz  76Hz  184Hz   97.5dB   17l +   5l  * 1x40mm   1256mm
 34.5Hz  80Hz  187Hz   99.2dB   15l +   5l  * 1x40mm   1120mm
 38.0Hz  85Hz  191Hz  100.9dB   13l +   5l  * 1x40mm    998mm
 41.8Hz  90Hz  195Hz  102.5dB   11l +   5l  * 1x40mm    889mm
 45.9Hz  96Hz  199Hz  104.2dB   10l +   5l  * 1x40mm    793mm
 50.4Hz 101Hz  203Hz  105.8dB    9l +   5l  * 1x40mm    706mm
 55.2Hz 107Hz  208Hz  107.4dB    7l +   5l  * 1x40mm    630mm
 60.5Hz 114Hz  213Hz  108.9dB    7l +   5l  * 1x40mm    561mm
 66.1Hz 120Hz  219Hz  110.5dB    6l +   5l  - 1x50mm    781mm
 72.2Hz 127Hz  225Hz  112.0dB    5l +   5l  - 1x50mm    696mm
 78.7Hz 135Hz  232Hz  113.5dB    4l +   5l  - 1x50mm    621mm
 85.7Hz 143Hz  239Hz  115.0dB    4l +   5l  - 1x50mm    553mm
 93.2Hz 151Hz  246Hz  116.5dB    4l +   5l  - 1x50mm    493mm
101.3Hz 160Hz  254Hz  117.9dB    3l +   5l  - 1x50mm    439mm
109.9Hz 170Hz  263Hz  119.3dB    3l +   5l    1x70mm    768mm
119.1Hz 180Hz  272Hz  120.7dB    2l +   5l    1x70mm    684mm
129.0Hz 191Hz  282Hz  122.1dB    2l +   5l    1x70mm    610mm
-------------
ax5
            89.3dB            10W       1x50mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 25.7Hz  53Hz  111Hz   77.5dB  -28l +   7l  + 1x40mm   1914mm
 28.2Hz  57Hz  114Hz   79.1dB  -35l +   7l  + 1x40mm   1706mm
 30.9Hz  60Hz  116Hz   80.7dB  -48l +   7l  + 1x40mm   1520mm
 33.8Hz  64Hz  119Hz   82.2dB  -84l +   7l  + 1x40mm   1355mm
 37.0Hz  67Hz  122Hz   83.8dB -515l +   7l  + 1x40mm   1208mm
 40.4Hz  71Hz  126Hz   85.3dB  108l +   7l  + 1x40mm   1076mm
 44.0Hz  75Hz  129Hz   86.8dB   46l +   7l  + 1x40mm    959mm
 47.9Hz  80Hz  133Hz   88.3dB   28l +   7l  + 1x40mm    855mm
 52.1Hz  85Hz  138Hz   89.8dB   19l +   7l  - 1x40mm    762mm
 56.7Hz  90Hz  142Hz   91.2dB   14l +   7l  - 1x40mm    679mm
 61.5Hz  95Hz  147Hz   92.6dB   11l +   7l  - 1x40mm    605mm
 66.6Hz 101Hz  152Hz   94.0dB    9l +   7l  - 1x40mm    539mm
 72.2Hz 104Hz  158Hz   95.4dB    8l +   7l    1x50mm    789mm
 78.0Hz 113Hz  164Hz   96.8dB    6l +   7l    1x50mm    670mm
 84.3Hz 120Hz  170Hz   98.1dB    5l +   7l    1x50mm    597mm
 91.0Hz 127Hz  176Hz   99.4dB    4l +   7l    1x50mm    532mm
 98.2Hz 134Hz  184Hz  100.8dB    4l +   7l    1x50mm    474mm
 25.7Hz  62Hz  111Hz   77.5dB  -67l +   5l  + 1x40mm   1914mm
 28.2Hz  66Hz  114Hz   79.1dB -190l +   5l  + 1x40mm   1706mm
 30.9Hz  70Hz  116Hz   80.7dB  182l +   5l  + 1x40mm   1520mm
 33.8Hz  74Hz  119Hz   82.2dB   57l +   5l  + 1x40mm   1355mm
 37.0Hz  78Hz  122Hz   83.8dB   32l +   5l  + 1x40mm   1208mm
 40.4Hz  83Hz  126Hz   85.3dB   22l +   5l  + 1x40mm   1076mm
 44.0Hz  88Hz  129Hz   86.8dB   16l +   5l  + 1x40mm    959mm
 47.9Hz  93Hz  133Hz   88.3dB   12l +   5l  + 1x40mm    855mm
 52.1Hz  99Hz  138Hz   89.8dB   10l +   5l  - 1x40mm    762mm
 56.7Hz 105Hz  142Hz   91.2dB    8l +   5l  - 1x40mm    679mm
 61.5Hz 111Hz  147Hz   92.6dB    6l +   5l  - 1x40mm    605mm
 66.6Hz 101Hz  152Hz   94.0dB    9l +   5l  - 1x40mm    734mm
 72.2Hz 104Hz  158Hz   95.4dB    8l +   5l  - 1x40mm    688mm
 78.0Hz 113Hz  164Hz   96.8dB    6l +   5l  - 1x40mm    583mm
 72.5Hz 120Hz  170Hz   95.5dB    5l +   5l  - 1x40mm    520mm
 79.2Hz 127Hz  176Hz   97.0dB    4l +   5l    1x50mm    724mm
 98.2Hz 134Hz  184Hz  100.8dB    4l +   5l    1x50mm    645mm
 30.8Hz  75Hz  182Hz   80.6dB   51l +   4l  + 1x40mm   1914mm
 34.0Hz  79Hz  185Hz   82.3dB   30l +   4l  + 1x40mm   1706mm
 37.5Hz  84Hz  188Hz   84.0dB   20l +   4l  + 1x40mm   1521mm
 41.2Hz  89Hz  192Hz   85.7dB   15l +   4l  + 1x40mm   1355mm
 45.3Hz  94Hz  196Hz   87.3dB   12l +   4l  + 1x40mm   1208mm
 49.7Hz 100Hz  200Hz   88.9dB    9l +   4l  + 1x40mm   1076mm
 54.4Hz 106Hz  205Hz   90.5dB    8l +   4l  + 1x40mm    959mm
 59.6Hz 112Hz  210Hz   92.1dB    6l +   4l  + 1x40mm    855mm
 65.1Hz 119Hz  216Hz   93.6dB    5l +   4l  - 1x40mm    762mm
 71.1Hz 126Hz  222Hz   95.2dB    4l +   4l  - 1x40mm    679mm
 77.6Hz 133Hz  228Hz   96.7dB    4l +   4l  - 1x40mm    605mm
 84.5Hz 141Hz  235Hz   98.1dB    3l +   4l  - 1x40mm    539mm
 91.9Hz 149Hz  243Hz   99.6dB    3l +   4l    1x50mm    751mm
 99.8Hz 158Hz  251Hz  101.0dB    2l +   4l    1x50mm    670mm
