-------------
AWM104
            88.0dB           200W      1x100mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 39.6Hz  60Hz   90Hz  111.4dB   24l +  27l  * 1x70mm   1206mm
 42.8Hz  62Hz   94Hz  112.7dB   22l +  27l  * 1x70mm   1129mm
 46.3Hz  67Hz   97Hz  114.1dB   18l +  27l  * 1x70mm    958mm
 50.1Hz  71Hz  101Hz  115.4dB   16l +  27l  * 1x70mm    853mm
 54.0Hz  75Hz  105Hz  116.8dB   14l +  27l  * 1x70mm    761mm
 58.3Hz  80Hz  109Hz  118.1dB   12l +  27l  * 1x70mm    678mm
 15.3Hz  37Hz   66Hz   94.8dB  106l +  20l  * 1x70mm   4278mm
 16.7Hz  39Hz   67Hz   96.4dB   84l +  20l  * 1x70mm   3812mm
 18.3Hz  42Hz   69Hz   98.0dB   68l +  20l  * 1x70mm   3397mm
 20.1Hz  44Hz   71Hz   99.6dB   56l +  20l  * 1x70mm   3028mm
 21.9Hz  47Hz   73Hz  101.1dB   47l +  20l  * 1x70mm   2699mm
 24.0Hz  49Hz   75Hz  102.7dB   40l +  20l  * 1x70mm   2405mm
 26.1Hz  52Hz   77Hz  104.2dB   34l +  20l  * 1x70mm   2144mm
 28.5Hz  55Hz   79Hz  105.6dB   29l +  20l  * 1x70mm   1911mm
 30.9Hz  59Hz   82Hz  107.1dB   25l +  20l  * 1x70mm   1703mm
 33.6Hz  62Hz   84Hz  108.5dB   22l +  20l  * 1x70mm   1518mm
 36.5Hz  66Hz   87Hz  110.0dB   19l +  20l  * 1x70mm   1353mm
 39.6Hz  60Hz   90Hz  111.4dB   24l +  20l  * 1x70mm   1641mm
 42.8Hz  62Hz   94Hz  112.7dB   22l +  20l  * 1x70mm   1537mm
 46.3Hz  67Hz   97Hz  114.1dB   18l +  20l  * 1x70mm   1303mm
 43.0Hz  71Hz  101Hz  112.8dB   16l +  20l  * 1x70mm   1162mm
 47.0Hz  75Hz  105Hz  114.3dB   14l +  20l  * 1x70mm   1035mm
 58.3Hz  80Hz  109Hz  118.1dB   12l +  20l  * 1x70mm    923mm
 18.3Hz  44Hz  108Hz   98.0dB   55l +  14l  * 1x70mm   4277mm
 20.2Hz  47Hz  110Hz   99.7dB   46l +  14l  * 1x70mm   3813mm
 22.2Hz  50Hz  112Hz  101.3dB   39l +  14l  * 1x70mm   3398mm
 24.5Hz  53Hz  114Hz  103.0dB   33l +  14l  * 1x70mm   3028mm
 26.9Hz  56Hz  116Hz  104.6dB   28l +  14l  * 1x70mm   2699mm
 29.5Hz  59Hz  119Hz  106.3dB   24l +  14l  * 1x70mm   2405mm
 32.3Hz  63Hz  122Hz  107.8dB   21l +  14l  * 1x70mm   2144mm
 35.4Hz  66Hz  125Hz  109.4dB   18l +  14l  * 1x70mm   1911mm
 38.7Hz  70Hz  128Hz  111.0dB   16l +  14l  * 1x70mm   1703mm
 42.2Hz  75Hz  132Hz  112.5dB   14l +  14l  * 1x70mm   1518mm
 46.0Hz  79Hz  136Hz  114.0dB   12l +  14l  * 1x70mm   1353mm
 50.1Hz  84Hz  140Hz  115.5dB   11l +  14l  * 1x70mm   1206mm
 54.5Hz  89Hz  144Hz  116.9dB   10l +  14l  * 1x70mm   1075mm
 59.2Hz  94Hz  149Hz  118.4dB    8l +  14l  * 1x70mm    958mm
 64.3Hz  99Hz  154Hz  119.8dB    7l +  14l  * 1x70mm    854mm
 69.7Hz 105Hz  159Hz  121.2dB    7l +  14l  * 1x70mm    761mm
 75.5Hz 112Hz  165Hz  122.6dB    6l +  14l  * 1x70mm    678mm
-------------
WPP150
            86.0dB            70W       1x40mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 25.5Hz  53Hz  110Hz   82.0dB   52l +   4l    1x40mm   3574mm
 28.0Hz  56Hz  113Hz   83.6dB   31l +   4l    1x40mm   3185mm
 30.7Hz  59Hz  115Hz   85.2dB   21l +   4l    1x40mm   2839mm
 33.6Hz  63Hz  118Hz   86.8dB   16l +   4l    1x40mm   2531mm
 36.7Hz  67Hz  121Hz   88.3dB   12l +   4l    1x40mm   2255mm
 40.1Hz  71Hz  125Hz   89.8dB   10l +   4l    1x40mm   2010mm
 43.7Hz  75Hz  128Hz   91.4dB    8l +   4l    1x40mm   1791mm
 47.6Hz  79Hz  132Hz   92.8dB    7l +   4l    1x40mm   1597mm
 51.7Hz  84Hz  137Hz   94.3dB    6l +   4l    1x40mm   1423mm
 56.2Hz  89Hz  141Hz   95.7dB    5l +   4l    1x40mm   1268mm
 61.0Hz  94Hz  146Hz   97.2dB    4l +   4l    1x40mm   1130mm
 66.1Hz 100Hz  151Hz   98.6dB    3l +   4l    1x40mm   1007mm
 71.6Hz 103Hz  156Hz   99.9dB    3l +   4l    1x40mm    943mm
 77.4Hz 112Hz  162Hz  101.3dB    3l +   4l    1x40mm    800mm
 83.7Hz 119Hz  168Hz  102.6dB    2l +   4l    1x40mm    713mm
 90.3Hz 126Hz  175Hz  104.0dB    2l +   4l    1x40mm    636mm
 97.4Hz 133Hz  182Hz  105.3dB    2l +   4l    1x40mm    566mm
 25.5Hz  62Hz  110Hz   82.0dB   17l +   3l    1x40mm   3574mm
 28.0Hz  66Hz  113Hz   83.6dB   13l +   3l    1x40mm   3185mm
 30.7Hz  69Hz  115Hz   85.2dB   11l +   3l    1x40mm   2838mm
 33.6Hz  74Hz  118Hz   86.8dB    9l +   3l    1x40mm   2530mm
 36.7Hz  78Hz  121Hz   88.3dB    7l +   3l    1x40mm   2255mm
 40.1Hz  83Hz  125Hz   89.8dB    6l +   3l    1x40mm   2010mm
 43.7Hz  87Hz  128Hz   91.4dB    5l +   3l    1x40mm   1791mm
 47.6Hz  93Hz  132Hz   92.8dB    4l +   3l    1x40mm   1597mm
