-------------
Aura_NSW1_205_8A
            78.0dB             5W       1x40mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
-------------
Aura_NSW2_326_8A
            84.0dB            15W       1x40mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
-------------
Aura_NS3_193_8A
            80.0dB            20W       1x40mm
 75.5Hz 114Hz  172Hz  127.6dB    3l +   6l  * 1x50mm    779mm
 81.8Hz 121Hz  179Hz  129.0dB    2l +   6l  * 1x50mm    694mm
-------------
Aura_NS12_513_4A
            85.0dB           200W      2x100mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 12.5Hz  26Hz   54Hz   95.2dB  469l +  41l  * 1x70mm   4217mm
 13.7Hz  28Hz   55Hz   96.9dB  300l +  41l  * 1x70mm   3758mm
 15.0Hz  29Hz   57Hz   98.4dB  214l +  41l  * 1x70mm   3349mm
 16.4Hz  31Hz   58Hz  100.0dB  162l +  41l  * 1x70mm   2986mm
 18.0Hz  33Hz   60Hz  101.6dB  127l +  41l  * 1x70mm   2661mm
 19.6Hz  35Hz   61Hz  103.1dB  102l +  41l  * 1x70mm   2371mm
 21.4Hz  37Hz   63Hz  104.6dB   84l +  41l  * 1x70mm   2114mm
 23.3Hz  39Hz   65Hz  106.1dB   70l +  41l  * 1x70mm   1884mm
 25.4Hz  41Hz   67Hz  107.5dB   59l +  41l  * 1x70mm   1679mm
 27.5Hz  44Hz   69Hz  109.0dB   50l +  41l  * 1x70mm   1496mm
 29.9Hz  46Hz   71Hz  110.4dB   43l +  41l  * 1x70mm   1334mm
 32.4Hz  49Hz   74Hz  111.8dB   37l +  41l  * 1x70mm   1189mm
 35.1Hz  51Hz   77Hz  113.2dB   34l +  41l  * 1x70mm   1113mm
 38.0Hz  55Hz   80Hz  114.5dB   28l +  41l  * 1x70mm    944mm
 41.0Hz  58Hz   83Hz  115.9dB   24l +  41l  * 1x70mm    841mm
 44.3Hz  62Hz   86Hz  117.2dB   21l +  41l  * 1x70mm    750mm
 47.7Hz  65Hz   89Hz  118.5dB   18l +  41l  * 1x70mm    668mm
 12.5Hz  30Hz   54Hz   95.2dB  176l +  30l  * 1x70mm   4217mm
 13.7Hz  32Hz   55Hz   96.9dB  137l +  30l  * 1x70mm   3758mm
 15.0Hz  34Hz   57Hz   98.4dB  109l +  30l  * 1x70mm   3349mm
