-------------
M5N
            82.0dB            35W       1x50mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 81.3Hz 120Hz  178Hz  119.0dB    3l +   6l  - 1x50mm    638mm
-------------
M8A
            88.0dB            80W       1x70mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 15.7Hz  33Hz   68Hz   87.1dB -2244l +  17l  * 1x40mm   2056mm
 17.2Hz  35Hz   70Hz   88.7dB  419l +  17l  * 1x40mm   1832mm
 18.9Hz  37Hz   71Hz   90.3dB  180l +  17l  * 1x40mm   1633mm
 20.7Hz  39Hz   73Hz   91.9dB  110l +  17l  * 1x40mm   1456mm
 22.6Hz  41Hz   75Hz   93.4dB   76l +  17l  * 1x40mm   1297mm
 24.7Hz  44Hz   77Hz   95.0dB   57l +  17l  * 1x40mm   1156mm
 26.9Hz  46Hz   79Hz   96.5dB   44l +  17l  * 1x40mm   1030mm
 29.3Hz  49Hz   82Hz   97.9dB   35l +  17l  * 1x40mm    918mm
 31.9Hz  52Hz   84Hz   99.4dB   29l +  17l  * 1x40mm    818mm
 34.6Hz  55Hz   87Hz  100.8dB   24l +  17l  * 1x40mm    729mm
 37.6Hz  58Hz   90Hz  102.3dB   20l +  17l  * 1x40mm    650mm
 40.8Hz  62Hz   93Hz  103.7dB   17l +  17l  * 1x40mm    579mm
 44.1Hz  64Hz   96Hz  105.0dB   16l +  17l  * 1x40mm    543mm
 47.7Hz  69Hz  100Hz  106.4dB   13l +  17l  - 1x50mm    719mm
 51.6Hz  73Hz  104Hz  107.8dB   11l +  17l  - 1x50mm    641mm
 55.7Hz  78Hz  108Hz  109.1dB    9l +  17l  - 1x50mm    571mm
 60.0Hz  82Hz  112Hz  110.4dB    8l +  17l  - 1x50mm    509mm
 15.7Hz  38Hz   68Hz   87.1dB  126l +  13l  * 1x40mm   2056mm
 17.2Hz  40Hz   70Hz   88.7dB   85l +  13l  * 1x40mm   1832mm
 18.9Hz  43Hz   71Hz   90.3dB   62l +  13l  * 1x40mm   1633mm
 20.7Hz  45Hz   73Hz   91.9dB   48l +  13l  * 1x40mm   1455mm
 22.6Hz  48Hz   75Hz   93.4dB   38l +  13l  * 1x40mm   1297mm
 24.7Hz  51Hz   77Hz   95.0dB   31l +  13l  * 1x40mm   1156mm
 26.9Hz  54Hz   79Hz   96.5dB   25l +  13l  * 1x40mm   1030mm
 29.3Hz  57Hz   82Hz   97.9dB   21l +  13l  * 1x40mm    918mm
 31.9Hz  60Hz   84Hz   99.4dB   18l +  13l  * 1x40mm    818mm
