-------------
10F8424G00
            86.6dB            15W       1x40mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
-------------
10F8424G00
            86.6dB            15W       1x40mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
-------------
15M4831G00
            90.0dB            40W       1x50mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 28.1Hz  58Hz   87Hz   91.1dB   10l +   5l  + 1x40mm   2113mm
 30.6Hz  61Hz   90Hz   92.6dB    9l +   5l  + 1x40mm   1883mm
 33.3Hz  65Hz   93Hz   94.1dB    8l +   5l  + 1x40mm   1679mm
 36.2Hz  69Hz   96Hz   95.6dB    7l +   5l  + 1x40mm   1496mm
 39.4Hz  73Hz   99Hz   97.0dB    6l +   5l  + 1x40mm   1333mm
 42.7Hz  77Hz  102Hz   98.4dB    5l +   5l  + 1x40mm   1188mm
 46.3Hz  70Hz  106Hz   99.8dB    6l +   5l  + 1x40mm   1442mm
 50.2Hz  72Hz  110Hz  101.2dB    6l +   5l  + 1x40mm   1350mm
 54.3Hz  79Hz  114Hz  102.6dB    5l +   5l  + 1x40mm   1145mm
 50.4Hz  83Hz  118Hz  101.3dB    4l +   5l  + 1x40mm   1020mm
 55.0Hz  88Hz  123Hz  102.8dB    4l +   5l  + 1x40mm    910mm
 68.2Hz  93Hz  128Hz  106.6dB    3l +   5l  + 1x40mm    811mm
 21.4Hz  52Hz  126Hz   86.4dB   14l +   4l  + 1x40mm   3757mm
 23.6Hz  55Hz  128Hz   88.1dB   12l +   4l  + 1x40mm   3350mm
 26.0Hz  58Hz  131Hz   89.8dB   10l +   4l  + 1x40mm   2985mm
 28.6Hz  62Hz  133Hz   91.5dB    9l +   4l  + 1x40mm   2660mm
 31.5Hz  65Hz  136Hz   93.1dB    7l +   4l  + 1x40mm   2371mm
 34.5Hz  69Hz  139Hz   94.7dB    6l +   4l  + 1x40mm   2113mm
 37.8Hz  73Hz  143Hz   96.3dB    6l +   4l  + 1x40mm   1883mm
